Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Trondheim - Voll;SN68860;09.01.2023 13:00;6,5
Trondheim - Voll;SN68860;09.01.2023 14:00;6,1
Trondheim - Voll;SN68860;09.01.2023 15:00;5,7
Trondheim - Voll;SN68860;09.01.2023 16:00;5,5
Trondheim - Voll;SN68860;09.01.2023 17:00;5,5
Trondheim - Voll;SN68860;09.01.2023 18:00;5,7
Trondheim - Voll;SN68860;09.01.2023 19:00;5,5
Trondheim - Voll;SN68860;09.01.2023 20:00;5,2
Trondheim - Voll;SN68860;09.01.2023 21:00;5,4
Trondheim - Voll;SN68860;09.01.2023 22:00;5,6
Trondheim - Voll;SN68860;09.01.2023 23:00;5,6
Trondheim - Voll;SN68860;10.01.2023 00:00;5,6
Trondheim - Voll;SN68860;10.01.2023 01:00;5,6
Trondheim - Voll;SN68860;10.01.2023 02:00;5,7
Trondheim - Voll;SN68860;10.01.2023 03:00;5,1
Trondheim - Voll;SN68860;10.01.2023 04:00;5,3
Trondheim - Voll;SN68860;10.01.2023 05:00;5
Trondheim - Voll;SN68860;10.01.2023 06:00;4,8
Trondheim - Voll;SN68860;10.01.2023 07:00;4,2
Trondheim - Voll;SN68860;10.01.2023 08:00;4,4
Trondheim - Voll;SN68860;10.01.2023 09:00;4,3
Trondheim - Voll;SN68860;10.01.2023 10:00;3,6
Trondheim - Voll;SN68860;10.01.2023 11:00;3,3
Trondheim - Voll;SN68860;10.01.2023 12:00;1,2
Trondheim - Voll;SN68860;10.01.2023 13:00;1,7
Trondheim - Voll;SN68860;10.01.2023 14:00;1,7
Trondheim - Voll;SN68860;10.01.2023 15:00;1,8
Trondheim - Voll;SN68860;10.01.2023 16:00;1,8
Trondheim - Voll;SN68860;10.01.2023 17:00;1,3
Trondheim - Voll;SN68860;10.01.2023 18:00;1,4
Trondheim - Voll;SN68860;10.01.2023 19:00;1,9
Trondheim - Voll;SN68860;10.01.2023 20:00;4
Trondheim - Voll;SN68860;10.01.2023 21:00;3,5
Trondheim - Voll;SN68860;10.01.2023 22:00;2,7
Trondheim - Voll;SN68860;10.01.2023 23:00;1,8
Trondheim - Voll;SN68860;11.01.2023 00:00;1,7
Trondheim - Voll;SN68860;11.01.2023 01:00;0,7
Trondheim - Voll;SN68860;11.01.2023 02:00;1,1
Trondheim - Voll;SN68860;11.01.2023 03:00;1,3
Trondheim - Voll;SN68860;11.01.2023 04:00;2,3
Trondheim - Voll;SN68860;11.01.2023 05:00;3,9
Trondheim - Voll;SN68860;11.01.2023 06:00;4,5
Trondheim - Voll;SN68860;11.01.2023 07:00;4,7
Trondheim - Voll;SN68860;11.01.2023 08:00;5,1
Trondheim - Voll;SN68860;11.01.2023 09:00;5,8
Trondheim - Voll;SN68860;11.01.2023 10:00;4,4
Trondheim - Voll;SN68860;11.01.2023 11:00;4,8
Trondheim - Voll;SN68860;11.01.2023 12:00;5,9
Trondheim - Voll;SN68860;11.01.2023 13:00;6,5
Trondheim - Voll;SN68860;11.01.2023 14:00;6,3
Trondheim - Voll;SN68860;11.01.2023 15:00;5,9
Trondheim - Voll;SN68860;11.01.2023 16:00;5,9
Trondheim - Voll;SN68860;11.01.2023 17:00;6
Trondheim - Voll;SN68860;11.01.2023 18:00;6
Trondheim - Voll;SN68860;11.01.2023 19:00;6,6
Trondheim - Voll;SN68860;11.01.2023 20:00;6,4
Trondheim - Voll;SN68860;11.01.2023 21:00;6,4
Trondheim - Voll;SN68860;11.01.2023 22:00;6,6
Trondheim - Voll;SN68860;11.01.2023 23:00;6,8
Trondheim - Voll;SN68860;12.01.2023 00:00;7,1
Trondheim - Voll;SN68860;12.01.2023 01:00;7,5
Trondheim - Voll;SN68860;12.01.2023 02:00;7,2
Trondheim - Voll;SN68860;12.01.2023 03:00;7,4
Trondheim - Voll;SN68860;12.01.2023 04:00;7
Trondheim - Voll;SN68860;12.01.2023 05:00;6,4
Trondheim - Voll;SN68860;12.01.2023 06:00;5,6
Trondheim - Voll;SN68860;12.01.2023 07:00;5,3
Trondheim - Voll;SN68860;12.01.2023 08:00;4,6
Trondheim - Voll;SN68860;12.01.2023 09:00;4,6
Trondheim - Voll;SN68860;12.01.2023 10:00;4
Trondheim - Voll;SN68860;12.01.2023 11:00;3,7
Trondheim - Voll;SN68860;12.01.2023 12:00;3,8
Trondheim - Voll;SN68860;12.01.2023 13:00;3,3
Trondheim - Voll;SN68860;12.01.2023 14:00;3,4
Trondheim - Voll;SN68860;12.01.2023 15:00;3,5
Trondheim - Voll;SN68860;12.01.2023 16:00;3,2
Trondheim - Voll;SN68860;12.01.2023 17:00;3
Trondheim - Voll;SN68860;12.01.2023 18:00;2,9
Trondheim - Voll;SN68860;12.01.2023 19:00;2,8
Trondheim - Voll;SN68860;12.01.2023 20:00;2,6
Trondheim - Voll;SN68860;12.01.2023 21:00;3
Trondheim - Voll;SN68860;12.01.2023 22:00;3
Trondheim - Voll;SN68860;12.01.2023 23:00;2,6
Trondheim - Voll;SN68860;13.01.2023 00:00;0,3
Trondheim - Voll;SN68860;13.01.2023 01:00;-0,3
Trondheim - Voll;SN68860;13.01.2023 02:00;-0,7
Trondheim - Voll;SN68860;13.01.2023 03:00;-1,3
Trondheim - Voll;SN68860;13.01.2023 04:00;-1,4
Trondheim - Voll;SN68860;13.01.2023 05:00;-1,9
Trondheim - Voll;SN68860;13.01.2023 06:00;-2,1
Trondheim - Voll;SN68860;13.01.2023 07:00;-2,7
Trondheim - Voll;SN68860;13.01.2023 08:00;-2,7
Trondheim - Voll;SN68860;13.01.2023 09:00;-3,1
Trondheim - Voll;SN68860;13.01.2023 10:00;-2,8
Trondheim - Voll;SN68860;13.01.2023 11:00;-3,3
Trondheim - Voll;SN68860;13.01.2023 12:00;-3,3
Trondheim - Voll;SN68860;13.01.2023 13:00;-3,5
Trondheim - Voll;SN68860;13.01.2023 14:00;-3,3
Trondheim - Voll;SN68860;13.01.2023 15:00;-3,3
Trondheim - Voll;SN68860;13.01.2023 16:00;-3,6
Trondheim - Voll;SN68860;13.01.2023 17:00;-3,9
Trondheim - Voll;SN68860;13.01.2023 18:00;-3,3
Trondheim - Voll;SN68860;13.01.2023 19:00;-2,5
Trondheim - Voll;SN68860;13.01.2023 20:00;-2,5
Trondheim - Voll;SN68860;13.01.2023 21:00;-2,4
Trondheim - Voll;SN68860;13.01.2023 22:00;-1,7
Trondheim - Voll;SN68860;13.01.2023 23:00;-1,6
Trondheim - Voll;SN68860;14.01.2023 00:00;-1,8
Trondheim - Voll;SN68860;14.01.2023 01:00;-1,8
Trondheim - Voll;SN68860;14.01.2023 02:00;-1,9
Trondheim - Voll;SN68860;14.01.2023 03:00;-2,3
Trondheim - Voll;SN68860;14.01.2023 04:00;-2
Trondheim - Voll;SN68860;14.01.2023 05:00;-2,3
Trondheim - Voll;SN68860;14.01.2023 06:00;-2,2
Trondheim - Voll;SN68860;14.01.2023 07:00;-2,2
Trondheim - Voll;SN68860;14.01.2023 08:00;-2,2
Trondheim - Voll;SN68860;14.01.2023 09:00;-2,1
Trondheim - Voll;SN68860;14.01.2023 10:00;-1,3
Trondheim - Voll;SN68860;14.01.2023 11:00;-1,7
Trondheim - Voll;SN68860;14.01.2023 12:00;-1,4
Trondheim - Voll;SN68860;14.01.2023 13:00;-1,2
Trondheim - Voll;SN68860;14.01.2023 14:00;-0,9
Trondheim - Voll;SN68860;14.01.2023 15:00;-0,9
Trondheim - Voll;SN68860;14.01.2023 16:00;-0,4
Trondheim - Voll;SN68860;14.01.2023 17:00;-0,9
Trondheim - Voll;SN68860;14.01.2023 18:00;-1,6
Trondheim - Voll;SN68860;14.01.2023 19:00;-1,7
Trondheim - Voll;SN68860;14.01.2023 20:00;-2,2
Trondheim - Voll;SN68860;14.01.2023 21:00;-1,7
Trondheim - Voll;SN68860;14.01.2023 22:00;-1,2
Trondheim - Voll;SN68860;14.01.2023 23:00;-2,7
Trondheim - Voll;SN68860;15.01.2023 00:00;0
Trondheim - Voll;SN68860;15.01.2023 01:00;0,2
Trondheim - Voll;SN68860;15.01.2023 02:00;0,7
Trondheim - Voll;SN68860;15.01.2023 03:00;0,4
Trondheim - Voll;SN68860;15.01.2023 04:00;0,4
Trondheim - Voll;SN68860;15.01.2023 05:00;0,2
Trondheim - Voll;SN68860;15.01.2023 06:00;0,2
Trondheim - Voll;SN68860;15.01.2023 07:00;-0,2
Trondheim - Voll;SN68860;15.01.2023 08:00;-0,5
Trondheim - Voll;SN68860;15.01.2023 09:00;-0,5
Trondheim - Voll;SN68860;15.01.2023 10:00;-0,7
Trondheim - Voll;SN68860;15.01.2023 11:00;-0,9
Trondheim - Voll;SN68860;15.01.2023 12:00;-1,3
Trondheim - Voll;SN68860;15.01.2023 13:00;-1,5
Trondheim - Voll;SN68860;15.01.2023 14:00;-1,8
Trondheim - Voll;SN68860;15.01.2023 15:00;-2,1
Trondheim - Voll;SN68860;15.01.2023 16:00;-2,5
Trondheim - Voll;SN68860;15.01.2023 17:00;-2,1
Trondheim - Voll;SN68860;15.01.2023 18:00;-2,2
Trondheim - Voll;SN68860;15.01.2023 19:00;-2,8
Trondheim - Voll;SN68860;15.01.2023 20:00;-3
Trondheim - Voll;SN68860;15.01.2023 21:00;-2,6
Trondheim - Voll;SN68860;15.01.2023 22:00;-2,5
Trondheim - Voll;SN68860;15.01.2023 23:00;-3
Trondheim - Voll;SN68860;16.01.2023 00:00;-3,2
Trondheim - Voll;SN68860;16.01.2023 01:00;-2,9
Trondheim - Voll;SN68860;16.01.2023 02:00;-2,9
Trondheim - Voll;SN68860;16.01.2023 03:00;-2,6
Trondheim - Voll;SN68860;16.01.2023 04:00;-2,4
Trondheim - Voll;SN68860;16.01.2023 05:00;-2,3
Trondheim - Voll;SN68860;16.01.2023 06:00;-2,1
Trondheim - Voll;SN68860;16.01.2023 07:00;-1,9
Trondheim - Voll;SN68860;16.01.2023 08:00;-1,5
Trondheim - Voll;SN68860;16.01.2023 09:00;-1,1
Trondheim - Voll;SN68860;16.01.2023 10:00;-0,6
Trondheim - Voll;SN68860;16.01.2023 11:00;-0,5
Trondheim - Voll;SN68860;16.01.2023 12:00;0
Trondheim - Voll;SN68860;16.01.2023 13:00;0,3
Trondheim - Voll;SN68860;16.01.2023 14:00;0,4
Trondheim - Voll;SN68860;16.01.2023 15:00;0,4
Trondheim - Voll;SN68860;16.01.2023 16:00;0
Trondheim - Voll;SN68860;16.01.2023 17:00;0,2
Trondheim - Voll;SN68860;16.01.2023 18:00;-0,7
Trondheim - Voll;SN68860;16.01.2023 19:00;-0,9
Trondheim - Voll;SN68860;16.01.2023 20:00;-3,5
Trondheim - Voll;SN68860;16.01.2023 21:00;-4,2
Trondheim - Voll;SN68860;16.01.2023 22:00;-5,6
Trondheim - Voll;SN68860;16.01.2023 23:00;-4,6
Trondheim - Voll;SN68860;17.01.2023 00:00;-5,7
Trondheim - Voll;SN68860;17.01.2023 01:00;-4,3
Trondheim - Voll;SN68860;17.01.2023 02:00;-2,7
Trondheim - Voll;SN68860;17.01.2023 03:00;-2,1
Trondheim - Voll;SN68860;17.01.2023 04:00;-2,6
Trondheim - Voll;SN68860;17.01.2023 05:00;-2,1
Trondheim - Voll;SN68860;17.01.2023 06:00;-0,5
Trondheim - Voll;SN68860;17.01.2023 07:00;-1
Trondheim - Voll;SN68860;17.01.2023 08:00;0,2
Trondheim - Voll;SN68860;17.01.2023 09:00;0,9
Trondheim - Voll;SN68860;17.01.2023 10:00;1,7
Trondheim - Voll;SN68860;17.01.2023 11:00;2,1
Trondheim - Voll;SN68860;17.01.2023 12:00;2,4
Trondheim - Voll;SN68860;17.01.2023 13:00;2,4
Trondheim - Voll;SN68860;17.01.2023 14:00;2,4
Trondheim - Voll;SN68860;17.01.2023 15:00;2,3
Trondheim - Voll;SN68860;17.01.2023 16:00;2,6
Trondheim - Voll;SN68860;17.01.2023 17:00;2,5
Trondheim - Voll;SN68860;17.01.2023 18:00;2,6
Trondheim - Voll;SN68860;17.01.2023 19:00;2,2
Trondheim - Voll;SN68860;17.01.2023 20:00;2,4
Trondheim - Voll;SN68860;17.01.2023 21:00;1,9
Trondheim - Voll;SN68860;17.01.2023 22:00;1,3
Trondheim - Voll;SN68860;17.01.2023 23:00;1,8
Trondheim - Voll;SN68860;18.01.2023 00:00;1,5
Trondheim - Voll;SN68860;18.01.2023 01:00;-0,2
Trondheim - Voll;SN68860;18.01.2023 02:00;-1,4
Trondheim - Voll;SN68860;18.01.2023 03:00;-1,1
Trondheim - Voll;SN68860;18.01.2023 04:00;-2,1
Trondheim - Voll;SN68860;18.01.2023 05:00;-2
Trondheim - Voll;SN68860;18.01.2023 06:00;-0,8
Trondheim - Voll;SN68860;18.01.2023 07:00;-0,9
Trondheim - Voll;SN68860;18.01.2023 08:00;-0,9
Trondheim - Voll;SN68860;18.01.2023 09:00;-0,7
Trondheim - Voll;SN68860;18.01.2023 10:00;-1,1
Trondheim - Voll;SN68860;18.01.2023 11:00;-0,6
Trondheim - Voll;SN68860;18.01.2023 12:00;-0,3
Trondheim - Voll;SN68860;18.01.2023 13:00;-1,5
Trondheim - Voll;SN68860;18.01.2023 14:00;0
